Sitio,Ref. Fig,Periodo,Piezas analizadas,Lipari,Cerdeña A (SA),Cerdeña B  (SB),Cerdeña C (SC),Palmarola,Coordenadas,
Mines de Gavà,69,5th ,6,0,6,0,0,0,41.306717,2.004186
Roque Haute,68,6th,7,0,0,0,0,7,43.30444444444,3.36805555556
A Fuata,1,5th,10,0,3,0,7,0,42.577589,8.832883
A Fuata,1,4th,35,2,2,3,28,0,42.577588,8.832884
Arene Candide,2,6th,29,0,2,13,3,11,44.16181,8.326389
Arene Candide,2,5th,21,6,0,4,2,9,44.1618,8.32639
Barbusi,3,4th,11,0,2,0,9,0,39.18256,8.504928
Basi,4,6th,72,0,29,4,39,0,41.7306,8.7994
Basi,4,4th,267,0,118,12,137,0,41.7305,8.7995
Beaumajour,5,4th,5,0,5,0,0,0,43.5525,5.5042
Buon Cammino,6,5th,12,0,5,7,0,0,39.18356,8.504928
Cala Giovanna,7,6th,213,4,61,37,100,11,42.5892931,10.0924565
Cala Villamarina,8,5th,114,0,20,13,81,0,41.19138,9.40623
Casa Querciola,10,6th,20,0,6,10,4,0,43.5566,10.3570
Contraguda,12,4th,412,0,127,5,280,0,40.8332,8.9353
Corte Auda,13,4th,9,0,0,0,9,0,39.5339,9.1424
Costa di U Monte,14,4th,50,0,12,0,38,0,42.400278,9.490833
Cuccuru Ibba,15,4th,29,0,16,0,13,0,39.2097,9.0284
Dolmen de Cardiccia,16,4th,68,0,2,28,38,0,41.55769,8.94065
Gaione,17,5th,94,62,0,0,3,29,44.759,10.288
Grotta all'Onda,18,4th,37,0,22,15,0,0,43.97511,10.34072
Grotta Filiestru,19,6th,72,0,10,46,16,0,40.454094,8.651366
Grotta Filiestru,19,5th,357,0,88,107,162,0,40.454093,8.651367
Grotta Filiestru,19,4th,62,0,15,10,37,0,40.454095,8.651365
Grotta San Bartolomeo,20,4th,194,0,72,6,116,0,39.193,9.1446
I Calanchi,21,4th,25,0,4,1,20,0,41.7421,8.8759
Is Solinas,22,4th,24,0,3,1,20,0,39.0255,8.5958
Isolino di Varese,23,5th,14,1,13,0,0,0,45.816667,8.733333
La Cabre/Le Grenouiller,24,4th,41,4,37,0,0,0,43.4348,6.8632
La Scola,26,6th,14,0,3,5,6,0,42.7575,10.1981
Les Terres Blanches,27,5th,15,0,15,0,0,0,44.657,5.470
Li Muri,28,4th,189,0,32,15,142,0,,
Loc. Liscia Pilastru,29,4th,10,0,2,0,8,0,,
Loc. San Pietro,30,4th,81,0,19,2,60,0,,
Lumaca,31,6th,20,0,9,8,3,0,,
Mes'e Arrius,32,4th,69,0,24,0,45,0,,
Molia,33,4th,83,0,23,0,60,0,,
Monte d'Accodi,34,4th,12,0,4,0,8,0,,
Monte Grosso,35,4th,28,0,6,1,21,0,,
Monte Maiore,36,6th,26,0,1,15,10,0,,
Monte Maiore,36,5th,11,0,2,4,5,0,,
Monte Revincu,37,5th,19,0,5,4,10,0,,
Palas de Casteddu,38,4th,20,0,12,1,7,0,,
Piannaccia di Suvero,39,6th,12,4,5,2,1,0,,
Pietracorbara,40,6th,10,0,5,4,1,0,,
Poggio Olivastro,41,4th,206,4,106,7,89,0,,
Puisteris,43,4th,12,0,3,0,9,0,,
Renaghju,44,6th,40,0,12,17,11,0,,
Rio Saboccu,45,6th,1047,0,589,307,151,0,,
Sa Ucca de Su Tintirriolu,46,4th,17,0,3,3,11,0,,
Sainte Catherine,47,4th,22,0,22,0,0,0,,
Saint Pancrase-Tiggianese,48,4th,10,0,4,0,6,0,,
San Gemiliano,49,4th,199,0,42,7,150,0,,
San Polo d'Enza,50,5th,11,1,9,0,1,0,,
Santa Caterina di Pittinuri,51,6th,35,0,6,26,3,0,,
Santa Gilla,52,4th,17,0,3,1,13,0,,
Scaba 'e Arriu,53,4th,31,0,10,0,21,0,,
Spazzavento,54,5th,26,24,2,0,0,0,,
Stazione La Gumarense,55,4th,18,0,8,2,8,0,,
Strette,56,6th,10,0,0,9,1,0,,
Strette,56,4th,12,0,6,3,3,0,,
Su Carroppu,57,6th,109,0,63,23,23,0,,
Su Coddu,58,4th,10,0,6,0,4,0,,
Su Cucurru S'Arrius,59,5th,154,0,70,13,71,0,,
Terramaini,60,4th,10,0,2,0,8,0,,
Terres Longues,61,4th,35,0,33,0,2,0,,
Tivulaghju,62,4th,10,0,6,0,4,0,,
Torre d'Aquila,63,6th,10,0,5,1,4,0,,
Torre Foghe,64,4th,49,0,2,2,45,0,,
Tracasi,66,4th,10,0,5,5,0,0,,
Vasculacciu,67,5th,46,0,3,12,31,0,,
Lipari,70,0,0,0,0,0,0,0,38.4814,14.9391
Palmarola,71,0,0,0,0,0,0,0,40.9374,12.8564
Monte Arci A,71,0,0,0,0,0,0,0,39.7797,8.7427
Monte Arci B,71,0,0,0,0,0,0,0,39.7798,8.7426
Monte Arci C,71,0,0,0,0,0,0,0,39.7799,8.7425

